,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,class
0,42.0,42.0,42.0,0.63359646663519,0.7079851309703848,0.15490737760303752,0.2750669411402137,0.04868172405105731,0.7339983537318482,0.329107243322894,0.6958433209239564,0.3483793154705218,0.9009598842673151,0.36419040525237845,C1_c1
1,0.5451339948090381,0.004404363462188199,0.7527370118070125,42.0,42.0,0.91149939894729,0.2316267104630365,0.561612314211575,0.38039372592817855,0.5286081068904481,0.5663539803766618,0.8684324918038502,0.5893814212899853,0.034967893259815974,C1_c2
2,0.6344704944395051,0.8027903803105142,0.6067162609463678,0.03095911856471223,0.8357933778693188,42.0,42.0,0.9619730938834425,0.8377209590380601,0.1363291653171661,0.4846739465042943,0.5958362013178575,0.7597550236063281,0.29362228106508825,C1_c3
3,0.29513581284623913,0.3329531374656267,0.3246398158066077,0.7172716828074233,0.12172256672742132,0.16595587306678994,0.02368907679831256,42.0,42.0,0.8501849631758669,0.19151896595631135,0.5668591280207721,0.02207452246431585,0.1772395432875461,C2_c1
4,0.6128288609350879,0.7298894053917724,0.3417296875458389,0.7790686982064826,0.2605975463581127,0.546231152737795,0.9679190176672763,0.3271613545648968,0.8481335235312519,42.0,42.0,42.0,0.8055711890039284,0.34318155368972814,C2_c2
5,0.5391768941235908,0.16864315056297785,0.6259188453242925,0.5319953572061247,0.06936829857176341,0.768191499686877,0.5419004571356616,0.9354023875232214,0.6105972600369525,0.6660730883755128,0.780331510200743,0.2811140595076014,42.0,42.0,C2_c3
6,42.0,42.0,42.0,0.6772101567268154,0.7848768712625641,0.8523661459143319,0.409403802979189,0.9276053951234903,0.5985679971693549,0.6924603001432622,0.3662962757259447,0.21524942175667483,0.1381850743192371,0.3218302030049929,C1_c1
7,0.7991127926546102,0.9591254783705987,0.11158639870998177,42.0,42.0,0.23174794735610027,0.830544016405943,0.9321210745485076,0.939703927711599,0.7001843915430589,0.11588295102457646,0.2354273638408242,0.6265959053480233,0.9969882774855338,C1_c2
8,0.8792510205507205,0.322904548507603,0.43495907521635413,0.3724573563643572,0.5146472121830504,42.0,42.0,0.15752984205941956,0.9695578940578243,0.37567909704816804,0.7740189855733214,0.03723527887652478,0.16172961351045367,0.5812855957437322,C1_c3
9,0.1442412577399581,0.284342784251969,0.9333867653621956,0.11112763549237392,0.5595909636428541,0.6724417665452715,0.9229693055206607,42.0,42.0,0.17678373844368533,0.5574020570887532,0.7468637723886397,0.4265454350323151,0.280294533950849,C2_c1
10,0.6361478061127678,0.5766349424103853,0.3658535929527147,0.45871383503050434,0.22852909983540182,0.736997045756207,0.6969591587419519,0.522289771983068,0.1701678120826099,42.0,42.0,42.0,0.30080500889663186,0.8310267051787834,C2_c2
11,0.23566555009671475,0.2501107462454032,0.5179185677491351,0.9110472893290633,0.9158204233776599,0.9228845128576576,0.5703124243815522,0.2741196676904525,0.724971668296468,0.35594524918863946,0.7451929379986709,0.9239005917420798,42.0,42.0,C2_c3
12,42.0,42.0,42.0,0.48158711581588576,0.7987405797912529,0.9417353649832193,0.506473378939728,0.21209168930115452,0.24882151814737197,0.43239916462054906,0.22660221075042675,0.7311813072778521,0.35925557774024186,0.7666557821677383,C1_c1
13,0.25652920729143647,0.15671828148279598,0.32025957608835764,42.0,42.0,0.19332482427811526,0.3088865092939943,0.052738044050545496,0.2978435022019893,0.9947816807914335,0.1560140854587504,0.6160652599803269,0.5103466362249345,0.8236130405143967,C1_c2
14,0.7093914212009733,0.8956842911237085,0.8968542305396953,0.20091013486714693,0.39792357061323624,42.0,42.0,0.7002831081181555,0.7170830172856671,0.7415224933564744,0.9292507282441471,0.1344022624200708,0.6372162239523749,0.06444160339168992,C1_c3
15,0.4256696333776915,0.6139537306848253,0.6357483396423371,0.9089333584289975,0.5762660379730767,0.333992755641772,0.41509305886801395,42.0,42.0,0.34479323366229386,0.8788072542742219,0.9568285887350015,0.17881041846246537,0.9423494008969572,C2_c1
16,0.2901598746910259,0.47789987058032257,0.7581374698109725,0.6301004037172152,0.9654625404608255,0.5221156268977921,0.2786409623222157,0.14616659060796833,0.7915269872966894,42.0,42.0,42.0,0.877894412424184,0.08170167711124954,C2_c2
17,0.1803225909957139,0.15047539138228283,0.8384738795617397,0.37401916268252466,0.018955185021062637,0.9446834247256434,0.7261796174080065,0.6001421131739832,0.25170729613085907,0.2785606058751888,0.973121927104149,0.4374275472562996,42.0,42.0,C2_c3
18,42.0,42.0,42.0,0.08088165505645284,0.9016419539506303,0.7895865568151766,0.3543170726681103,0.2700118378762357,0.39158937780284375,0.6283701437078196,0.04998015839615211,0.3960491444503299,0.17217589380072473,0.21822610034324874,C1_c1
19,0.11141484055576434,0.014204957933255158,0.8935162160794049,42.0,42.0,0.19132218735609352,0.40988322847613545,0.7993074155156363,0.5116447893935917,0.17727530546885417,0.13172648882124394,0.3634283094589924,0.7428309839858709,0.45511837398756116,C1_c2
20,0.1316664468228208,0.3705569703221555,0.8176035366668145,0.3485608226834731,0.23663838261211734,42.0,42.0,0.3372426292766043,0.36624041514574457,0.045584399357593175,0.39071616191622704,0.5070006395800374,0.0783571988778815,0.8158392243478024,C1_c3
21,0.9043135823614635,0.48096415408805104,0.10802376268715252,0.548094191856213,0.07674099924098776,0.8483052545688167,0.24419740648618327,42.0,42.0,0.0009703812261327993,0.08989900530521411,0.07499065551548001,0.6679965526469919,0.3972891877191884,C2_c1
