,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,class
0,42.0,42.0,0.9401033480676918,0.932369966016741,0.3965226959117807,0.01851275970284494,0.7080498561187645,0.4663923672040582,0.33274707507822965,0.5426761569664985,0.7386089461026101,0.5400133624586467,0.6257056260822594,0.8719004397484365,0.9522130269068105,0.15996239646923804,42.0,42.0,42.0,0.05859312807245454,0.9224534864528686,0.716464650454533,0.4875193346630251,0.25216448260112556,C1_c1
1,42.0,42.0,42.0,42.0,42.0,0.498617970981292,0.4341291140997726,0.4733011704201553,0.5043411597079809,0.6063650238695237,0.2922227377831874,0.6380062152925778,0.4585015243338534,0.24526129839236732,0.8379297965251354,0.3052163564495354,0.02691258441525446,0.8380901547548545,0.3410232050009322,0.8221283251074141,0.0003799731432685416,0.800345737721067,0.35832201421916154,0.42533477858896585,C1_c2
2,0.705039507661594,0.5042391100005756,0.11277725758021595,0.10726585113162979,0.9891485408211146,42.0,42.0,42.0,0.29436822408387453,0.5609654985726334,0.3583243547214584,0.5777026707617051,0.7791443650318791,0.589810566745222,0.8059907905793086,0.97208410528454,0.05132465806967634,0.7085263791206434,0.051628668919355136,0.9555893459241098,0.6887182883187205,0.3040868847999413,0.9466758526328625,0.20027184088682937,C1_c3
3,0.546772142679627,0.7594234951531774,0.6841845806346614,0.16763852289695758,0.8619960634693572,0.3314677871372841,42.0,42.0,42.0,0.47154706595000573,0.5488775428897208,0.9521649229007605,0.8907504887478582,0.4368864609981473,0.5904304885904863,0.7172144990077458,0.3999639231116815,0.04046264843849101,0.3581734132446779,0.5344894665723078,0.2898816803204616,0.573946721321113,0.5085081755713808,0.04659230681960336,C2_c1
4,0.21984313127717736,0.7164610027062995,0.7932930233394303,0.5500177901524902,0.5278401591157985,0.10325502636181672,0.6299836248698786,0.2227010804360965,42.0,42.0,42.0,0.8197349605072006,0.6107472118472168,0.15109551437263458,0.8370218123432944,0.11369208803916098,0.4052908819869079,0.7171125500143457,0.46128709879540297,0.6961260514172275,0.43596336466285757,0.7752008431808697,0.7118727263052207,0.39921693875366737,C2_c2
5,0.9252082145768148,0.1407199260909523,0.7632885783649018,0.4874393231399171,0.5914842333112087,0.3092221114527275,0.5858991418270225,0.6956417653725943,0.17398703654368153,0.3778657249724513,0.47278516988868713,42.0,42.0,42.0,42.0,0.19723999438514228,0.4377884941521344,0.7474654575391745,0.6895957088805325,0.5756315375375154,0.6494551711010896,0.7899079888441992,0.820645664737068,0.9579532743718264,C2_c3
6,0.8649746034551621,0.857338149663134,0.834574005305242,0.26347400909300056,0.021176148704494024,0.8020006196239603,0.5711126022593628,0.3146074501390437,0.6869933371913013,0.14946892030880266,0.13558017354499974,0.009818806083337295,0.21496417566208292,0.15078184284937501,0.28692801988263217,42.0,42.0,42.0,0.23488360284528453,42.0,0.37511031485496993,0.10784855716129205,0.6884036571782152,0.0477413516601326,C3_c1
7,0.7113118216580603,0.5709995565501037,0.3689351490803836,0.8392570195825426,0.02026015605895415,0.25356796550033023,0.48999816048767264,0.29024984143110144,0.8870641664540987,0.2658698453494156,0.03385591009672517,0.20364231028529667,0.5518747037705674,0.502222806828499,0.26302780199246034,0.9284755967563247,0.2808557388341164,0.7283593076108692,0.8947427999411927,0.8661999973368214,42.0,42.0,42.0,42.0,C3_c2
8,0.08010271013042103,0.6753734975032198,0.3517263094800628,0.22270879207678107,0.45296321046190813,0.0945432498105645,0.17006300845331257,0.6122588273999174,0.3610479022092613,0.38114598754139284,0.7272608645064166,0.982333596765499,0.9234003712132728,0.7575698720338815,0.7519627388235296,0.45310285205538847,0.14253895157713203,0.5795467512036188,0.35448181283079516,0.2572662839695333,42.0,42.0,42.0,42.0,C3_c3
9,42.0,42.0,0.09819927169118348,0.017628528167902613,0.040113063409611405,0.02190898931421137,0.34179056140082464,0.9924713214376255,0.6808502753274122,0.07899728954730434,0.751634535165056,0.18960519193052328,0.007583298198382549,0.9348968285277194,0.42488690572450716,0.31924818462553606,42.0,42.0,42.0,0.09991984889500427,0.8937987656269747,0.8913625915788186,0.280741068837827,0.9802738846756633,C1_c1
10,42.0,42.0,42.0,42.0,42.0,0.3504952687786431,0.5166066440597132,0.6460700802408188,0.36836090780444664,0.6760432925186659,0.029114146639454552,0.44091566620994704,0.3359284466942395,0.6121001504286258,0.6656507068601281,0.5030937122070936,0.24584531880270533,0.5417754034433898,0.14034456281530183,0.4276138895749787,0.032900658662624704,0.1588204880042905,0.2578583204435272,0.7015635108490385,C1_c2
