,Unnamed: 0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,class
0,0,42.0,42.0,42.0,0.63359646663519,0.7079851309703848,0.1549073776030375,0.2750669411402137,0.0486817240510573,0.7339983537318482,0.329107243322894,0.6958433209239564,0.3483793154705218,0.9009598842673152,0.3641904052523784,C1
1,1,0.5451339948090381,0.0044043634621881,0.7527370118070125,42.0,42.0,0.91149939894729,0.2316267104630365,0.561612314211575,0.3803937259281785,0.5286081068904481,0.5663539803766618,0.8684324918038502,0.5893814212899853,0.0349678932598159,C1
2,2,0.6344704944395051,0.8027903803105142,0.6067162609463678,0.0309591185647122,0.8357933778693188,42.0,42.0,0.9619730938834424,0.8377209590380601,0.1363291653171661,0.4846739465042943,0.5958362013178575,0.7597550236063281,0.2936222810650882,C1
3,3,0.2951358128462391,0.3329531374656267,0.3246398158066077,0.7172716828074233,0.1217225667274213,0.1659558730667899,0.0236890767983125,42.0,42.0,0.8501849631758669,0.1915189659563113,0.5668591280207721,0.0220745224643158,0.1772395432875461,C2
4,4,0.6128288609350879,0.7298894053917724,0.3417296875458389,0.7790686982064826,0.2605975463581127,0.546231152737795,0.9679190176672764,0.3271613545648968,0.8481335235312519,42.0,42.0,42.0,0.8055711890039284,0.3431815536897281,C2
5,5,0.5391768941235908,0.1686431505629778,0.6259188453242925,0.5319953572061247,0.0693682985717634,0.768191499686877,0.5419004571356616,0.9354023875232214,0.6105972600369525,0.6660730883755128,0.780331510200743,0.2811140595076014,42.0,42.0,C2
6,6,42.0,42.0,42.0,0.6772101567268154,0.7848768712625641,0.8523661459143319,0.409403802979189,0.9276053951234904,0.5985679971693549,0.6924603001432622,0.3662962757259447,0.2152494217566748,0.1381850743192371,0.3218302030049929,C1
7,7,0.7991127926546102,0.9591254783705988,0.1115863987099817,42.0,42.0,0.2317479473561002,0.830544016405943,0.9321210745485076,0.939703927711599,0.7001843915430589,0.1158829510245764,0.2354273638408242,0.6265959053480233,0.9969882774855338,C1
8,8,0.8792510205507205,0.322904548507603,0.4349590752163541,0.3724573563643572,0.5146472121830504,42.0,42.0,0.1575298420594195,0.9695578940578244,0.375679097048168,0.7740189855733214,0.0372352788765247,0.1617296135104536,0.5812855957437322,C1
9,9,0.1442412577399581,0.284342784251969,0.9333867653621956,0.1111276354923739,0.5595909636428541,0.6724417665452715,0.9229693055206608,42.0,42.0,0.1767837384436853,0.5574020570887532,0.7468637723886397,0.4265454350323151,0.280294533950849,C2
